[ID]	ENGLISH                                           MIYASAN                                           CLASS                                             

0	<polite form>                                     ... tuda                                          verbal clitic
1	Alan                                              Alána                                             name
2	Alex                                              Aleksa                                            name
3	Alice                                             Alisi                                             name
4	Amanda                                            Amandi                                            name
5	Andy                                              Andya                                             name
6	Anne                                              Anni                                              name
7	Ashley                                            Asli                                              name
8	Becky                                             Bekki                                             name
9	Brandon                                           Buranda                                           name
10	Brian                                             Burianna                                          name
11	Chris                                             Kirísa                                            name
12	Christine                                         Kristini                                          name
13	Claire                                            Kulairi                                           name
14	Dan                                               Danna                                             name
15	Dave                                              Déva                                              name
16	Earth                                             Ethi                                              noun
17	Elizabeth                                         Ilízabethi                                        name
18	Greg                                              Giréga                                            name
19	Internet                                          ethiithisadéri                                    noun
20	JP "suru"                                         tuda                                              aux. verb
21	Jennifer                                          Zennifi                                           name
22	Jessica                                           Zessiki                                           name
23	Jim                                               Zima                                              name
24	Joan                                              Zóni                                              name
25	Joey                                              Zóya                                              name
26	John                                              Zóna                                              name
27	Josh                                              Zossa                                             name
28	Julie                                             Zúli                                              name
29	Justin                                            Zustina                                           name
30	Kate                                              Kéti                                              name
31	Kevin                                             Kevina                                            name
32	Laura                                             Lauri                                             name
33	Mark                                              Marka                                             name
34	Mary                                              Mari                                              name
35	Matt                                              Matta                                             name
36	Meg                                               Megi                                              name
37	Michelle                                          Miselli                                           name
38	Mike                                              Maika                                             name
39	Moon (of Earth)                                   Asela                                             noun
40	Natalie                                           Natali                                            name
41	Nick                                              Nıka                                              name
42	Nicole                                            Nikoli                                            name
43	Peter                                             Petera                                            noun
44	Rachel                                            Ratseli                                           name
45	Ruth                                              Rúthi                                             name
46	Sarah                                             Sári                                              name
47	Sharon                                            Syároni                                           name
48	Stephanie                                         Stefani                                           name
49	Susan                                             Susani                                            name
50	about                                             -tiri                                             adposition
51	above                                             -unda                                             postposition
52	above                                             -missa                                            postposition
53	actress                                           akıtıressı                                        noun, loan
54	again                                             mil                                               adverb
55	air                                               hea                                               noun
56	always                                            mahe                                              adverb
57	amount                                            íarni                                             noun
58	and (sì)                                          a                                                 particle
59	and (ulte)                                        esti                                              conjunction
60	apple                                             arı                                               noun
61	back into                                         -náren                                            postposition
62	bag                                               yompo                                             noun
63	basket                                            hazo                                              noun
64	because of                                        -tema                                             postposition
65	beginning                                         naro                                              noun
66	beloved person                                    kulikita                                          noun
